,beat_pitch
159,"[[(1, 79), (2, 81), (3, 80), (4, 81), (5, 79), (7, 74), (8, 71), (9, 69)], [(1, 79), (3, 78), (4, 76), (5, 77), (6, 74), (7, 72), (8, 71), (9, 72)], [(1, 79), (3, 76), (4, 77), (5, 79), (7, 63), (8, 60), (9, 59)], [(1, 79), (3, 82), (4, 81), (5, 76), (7, 79), (9, 83)], [(1, 79), (3, 79), (4, 77), (5, 76), (6, 74), (7, 73), (8, 71), (9, 67)], [(1, 79), (3, 79), (4, 79), (5, 78), (7, 76), (8, 77), (9, 76), (11, 74)], [(1, 79), (3, 77), (4, 79), (5, 79), (7, 76), (8, 77), (9, 81)], [(1, 79), (3, 79), (4, 81), (5, 83), (7, 83), (9, 85)]]"
160,"[[(1, 72), (3, 72), (4, 76), (5, 74), (7, 76), (8, 77), (9, 74), (11, 76), (12, 73)], [(1, 72), (2, 71), (3, 69), (4, 72), (5, 71), (8, 74), (9, 71), (11, 67), (12, 66)], [(1, 72), (2, 71), (3, 72), (4, 69), (5, 72), (7, 72), (8, 69), (9, 67), (11, 65), (12, 69)], [(1, 72), (2, 71), (3, 69), (4, 71), (5, 72), (7, 81), (8, 78), (9, 74)], [(1, 72), (3, 71), (4, 72), (5, 74), (7, 76), (8, 78), (9, 76)], [(1, 72), (3, 71), (4, 69), (5, 68), (7, 69), (8, 72), (9, 71)], [(1, 72), (2, 71), (3, 74), (4, 78), (5, 79), (7, 76), (8, 77), (9, 76)], [(1, 72), (2, 69), (3, 71), (5, 73), (7, 76), (8, 74), (9, 72), (11, 72)]]"
161,"[[(1, 64), (3, 69), (5, 71), (7, 67), (9, 72)], [(1, 64), (3, 62), (4, 65), (5, 67), (7, 70), (9, 74)], [(1, 64), (2, 72), (3, 77), (4, 76), (5, 74), (7, 78), (8, 74), (9, 76)], [(1, 64), (2, 62), (3, 67), (4, 69), (5, 70), (7, 62), (9, 64)], [(1, 64), (3, 72), (4, 71), (5, 69), (7, 71), (8, 73), (9, 74)], [(1, 64), (4, 65), (5, 65), (7, 64), (8, 61), (9, 62)], [(1, 64), (2, 67), (3, 71), (4, 73), (5, 74), (7, 72), (8, 71), (9, 72)], [(1, 64), (3, 72), (4, 69), (5, 70), (7, 69), (8, 71), (9, 69)]]"
162,"[[(1, 65), (2, 63), (3, 65), (4, 63), (5, 63), (6, 62), (7, 63), (9, 62), (10, 65), (11, 69), (12, 67)], [(1, 65), (2, 64), (3, 65), (4, 64), (5, 65), (7, 64), (9, 81), (11, 69), (12, 68)], [(1, 65), (3, 69), (4, 66), (5, 67), (7, 69), (8, 74), (9, 76), (11, 79), (12, 78)], [(1, 65), (3, 64), (4, 62), (5, 60), (7, 62), (9, 62), (11, 64), (12, 62)], [(1, 65), (3, 69), (4, 66), (5, 67), (9, 74), (11, 81), (12, 82)], [(1, 65), (2, 64), (3, 65), (4, 72), (5, 74), (7, 76), (9, 77), (11, 81), (12, 79)], [(1, 65), (2, 64), (3, 69), (4, 68), (5, 67), (9, 55), (11, 71)], [(1, 65), (2, 63), (3, 65), (4, 69), (5, 70), (7, 58), (9, 67)]]"
163,"[[(1, 78), (3, 79), (4, 76), (5, 78), (6, 81), (7, 79), (8, 76), (9, 77)], [(1, 78), (3, 78), (4, 81), (5, 82), (7, 81), (9, 69)], [(1, 78), (2, 76), (3, 72), (4, 74), (5, 72), (7, 70), (9, 69), (11, 67)], [(1, 78), (2, 79), (3, 81), (5, 81), (7, 76), (9, 78)], [(1, 78), (2, 79), (3, 81), (4, 77), (5, 72), (7, 77), (8, 79), (9, 77)], [(1, 78), (2, 76), (3, 77), (5, 74), (7, 71), (8, 72), (9, 74)], [(1, 78), (2, 79), (3, 78), (4, 76), (5, 79), (7, 78), (9, 76)], [(1, 78), (3, 81), (4, 80), (5, 81), (7, 83), (9, 81)]]"
164,"[[(1, 76), (2, 74), (3, 76), (4, 77), (5, 74), (9, 72), (10, 70)], [(1, 76), (2, 74), (3, 76), (4, 77), (5, 74), (7, 72), (9, 71)], [(1, 76), (2, 74), (3, 72), (4, 74), (5, 74), (7, 76), (9, 77), (11, 74)], [(1, 76), (3, 78), (4, 81), (5, 76), (7, 78), (9, 78)], [(1, 76), (2, 77), (3, 76), (4, 79), (5, 79), (7, 83), (9, 81)], [(1, 76), (3, 74), (4, 76), (5, 74), (7, 71), (8, 73), (9, 71)], [(1, 76), (3, 76), (4, 79), (5, 76), (6, 78), (7, 76), (8, 80), (9, 81), (11, 79)], [(1, 76), (3, 74), (5, 76), (6, 69), (7, 66), (8, 64), (9, 64)]]"
165,"[[(1, 65), (3, 69), (4, 71), (5, 67), (9, 55)], [(1, 65), (3, 60), (4, 62), (5, 61), (7, 62), (9, 62)], [(1, 65), (3, 67), (4, 64), (5, 62), (9, 64)], [(1, 65), (2, 69), (3, 79), (4, 78), (5, 74), (9, 73)], [(1, 65), (2, 70), (3, 72), (4, 76), (5, 74), (9, 62)], [(1, 65), (2, 64), (3, 74), (4, 70), (5, 69), (6, 72), (7, 71), (9, 69)], [(1, 65), (3, 65), (4, 69), (5, 70), (6, 69), (7, 70), (8, 72), (9, 71)], [(1, 65), (3, 65), (4, 64), (5, 65), (7, 69), (9, 69)]]"
166,"[[(1, 79), (2, 78), (3, 76), (4, 77), (5, 76), (6, 72), (7, 70), (9, 67)], [(1, 79), (2, 78), (3, 76), (4, 78), (5, 81), (6, 79), (7, 78), (8, 81), (9, 79)], [(1, 79), (2, 81), (3, 79), (5, 79), (7, 77), (8, 74), (9, 72)], [(1, 79), (3, 83), (4, 79), (5, 81), (7, 81), (8, 78), (9, 79)], [(1, 79), (2, 81), (3, 80), (4, 81), (5, 82), (7, 79), (8, 81), (9, 81), (11, 69)], [(1, 79), (3, 79), (4, 77), (5, 79), (7, 81), (9, 79), (11, 76)], [(1, 79), (3, 76), (4, 77), (5, 79), (7, 78), (8, 76), (9, 74)], [(1, 79), (3, 80), (4, 81), (5, 76), (7, 77), (8, 70), (9, 69), (10, 68)]]"
167,"[[(1, 84), (3, 82), (4, 81), (5, 72), (6, 71), (7, 69), (8, 67), (9, 69), (11, 67), (12, 67)], [(1, 84), (3, 76), (4, 73), (5, 74), (7, 71), (9, 71), (11, 69)], [(1, 84), (3, 84), (4, 81), (5, 82), (9, 82), (11, 81), (12, 79)], [(1, 84), (3, 81), (4, 82), (5, 81), (9, 74), (11, 71)], [(1, 84), (3, 76), (4, 73), (5, 74), (9, 71), (11, 71), (12, 69)], [(1, 84), (3, 82), (4, 81), (5, 78), (7, 81), (9, 77), (11, 76), (12, 78)], [(1, 84), (3, 82), (5, 77), (7, 81), (9, 79), (11, 78), (12, 74)], [(1, 84), (3, 84), (4, 76), (5, 74), (7, 76), (8, 74), (9, 76), (11, 81), (12, 79)]]"
168,"[[(1, 71), (3, 69), (4, 65), (5, 69), (7, 77), (9, 77), (10, 76)], [(1, 71), (3, 71), (4, 69), (5, 69), (7, 69), (8, 72), (9, 69), (10, 72), (11, 69)], [(1, 71), (2, 74), (3, 78), (4, 79), (5, 65), (7, 67), (8, 70), (9, 72), (10, 70), (11, 69)], [(1, 71), (2, 69), (3, 79), (4, 81), (5, 79), (8, 77), (9, 79), (11, 76)], [(1, 71), (2, 72), (3, 70), (4, 69), (5, 69), (7, 67), (9, 71), (11, 67)], [(1, 71), (3, 74), (4, 76), (5, 76), (6, 74), (7, 73), (9, 69), (11, 73)], [(1, 71), (3, 67), (4, 69), (5, 79), (9, 76), (11, 72)], [(1, 71), (3, 74), (4, 73), (5, 74), (9, 62), (11, 71), (12, 55)]]"
169,"[[(1, 76), (3, 73), (4, 74), (5, 73), (9, 74), (11, 70), (12, 72)], [(1, 76), (3, 69), (4, 67), (5, 71), (7, 71), (8, 73), (9, 74), (11, 76), (12, 79)], [(1, 76), (3, 76), (4, 74), (5, 71), (7, 72), (8, 69), (9, 71), (11, 71), (12, 74)], [(1, 76), (5, 76), (7, 74), (8, 71), (9, 74), (11, 71), (12, 69)], [(1, 76), (3, 74), (5, 72), (6, 71), (7, 76), (8, 77), (9, 76), (11, 81), (12, 79)], [(1, 76), (3, 71), (4, 74), (5, 74), (7, 79), (8, 71), (9, 72), (10, 71), (11, 72), (12, 71)], [(1, 76), (2, 72), (3, 71), (4, 73), (5, 74), (7, 74), (9, 62), (10, 60), (11, 58), (12, 57)], [(1, 76), (3, 72), (4, 72), (5, 70), (7, 58), (9, 58), (10, 56), (11, 55), (12, 58)]]"
170,"[[(1, 58), (3, 79), (4, 79), (5, 74), (6, 72), (7, 69), (9, 70), (11, 70), (12, 69)], [(1, 58), (3, 70), (5, 69), (6, 71), (7, 72), (9, 69), (11, 72), (12, 71)], [(1, 58), (3, 62), (5, 57), (6, 64), (7, 61), (9, 62)], [(1, 58), (3, 70), (4, 74), (5, 72), (6, 70), (7, 69), (9, 69)], [(1, 58), (3, 79), (4, 81), (5, 79), (6, 81), (7, 82), (9, 79)], [(1, 58), (3, 79), (5, 76), (6, 74), (7, 71), (9, 71)], [(1, 58), (3, 56), (4, 72), (5, 81), (6, 79), (7, 76), (8, 74), (9, 76)], [(1, 58), (3, 70), (4, 69), (5, 70), (7, 69), (8, 71), (9, 74)]]"
171,"[[(1, 74), (3, 74), (4, 69), (5, 67), (9, 55)], [(1, 74), (3, 76), (4, 78), (5, 79), (9, 76), (11, 74)], [(1, 74), (3, 73), (4, 71), (5, 69), (9, 71), (11, 79), (12, 81)], [(1, 74), (3, 74), (4, 73), (5, 74), (9, 72), (11, 71), (12, 69)], [(1, 74), (3, 73), (4, 76), (5, 74), (7, 69), (9, 65), (11, 69)], [(1, 74), (3, 76), (4, 74), (5, 71), (7, 71), (8, 69), (9, 67)], [(1, 74), (3, 71), (5, 71), (6, 72), (7, 74), (8, 72), (9, 74)], [(1, 74), (5, 62), (6, 67), (7, 66), (8, 67), (9, 76)]]"
172,"[[(1, 74), (3, 78), (4, 69), (5, 69), (7, 71), (9, 73), (11, 71)], [(1, 74), (2, 72), (3, 74), (4, 75), (5, 77), (7, 74), (9, 72), (11, 69)], [(1, 74), (3, 78), (4, 76), (5, 74), (7, 72), (9, 71), (11, 69), (12, 67)], [(1, 74), (3, 76), (4, 77), (5, 79), (7, 79), (8, 81), (9, 79), (11, 70)], [(1, 74), (2, 72), (3, 75), (4, 72), (5, 76), (7, 76), (8, 72), (9, 75), (11, 75), (12, 72)], [(1, 74), (2, 72), (3, 71), (4, 73), (5, 69), (6, 62), (7, 64), (8, 66), (9, 62)], [(1, 74), (3, 74), (4, 77), (5, 70), (7, 69), (8, 71), (9, 67)], [(1, 74), (3, 74), (4, 76), (5, 74), (6, 72), (7, 71), (8, 69), (9, 73)]]"
173,"[[(1, 76), (4, 77), (5, 74), (9, 62), (11, 78), (12, 76)], [(1, 76), (5, 72), (9, 71), (11, 72), (12, 69)], [(1, 76), (5, 76), (9, 74), (11, 74), (12, 73)], [(1, 76), (3, 74), (5, 79), (9, 76), (11, 76), (12, 72)], [(1, 76), (2, 74), (3, 75), (5, 75), (8, 74), (9, 72), (11, 74), (12, 71)], [(1, 76), (2, 73), (3, 74), (4, 72), (5, 74), (7, 72), (8, 74), (9, 73), (11, 69), (12, 67)], [(1, 76), (2, 74), (3, 76), (4, 79), (5, 74), (9, 62), (11, 78), (12, 76)], [(1, 76), (2, 74), (3, 73), (4, 71), (5, 67), (9, 65), (11, 64), (12, 62)]]"
174,"[[(1, 74), (5, 74), (7, 74), (8, 76), (9, 76), (11, 80)], [(1, 74), (5, 69), (6, 67), (7, 64), (8, 61), (9, 62), (11, 62), (12, 66)], [(1, 74), (4, 72), (5, 74), (7, 72), (8, 77), (9, 77), (11, 76), (12, 74)], [(1, 74), (4, 73), (5, 74), (7, 78), (8, 79), (9, 79), (11, 83), (12, 86)], [(1, 74), (3, 74), (5, 76), (7, 79), (8, 76), (9, 74), (11, 78), (12, 74)], [(1, 74), (5, 74), (7, 78), (8, 81), (9, 79), (11, 83), (12, 86)], [(1, 74), (4, 72), (5, 74), (7, 76), (8, 72), (9, 63), (11, 79), (12, 81)], [(1, 74), (2, 72), (3, 79), (4, 77), (5, 76), (6, 74), (7, 78), (8, 74), (9, 76), (11, 76), (12, 73)]]"
175,"[[(1, 72), (4, 74), (5, 72), (6, 71), (7, 69), (8, 67), (9, 67)], [(1, 72), (3, 72), (4, 74), (5, 73), (7, 70), (8, 74), (9, 73)], [(1, 72), (3, 75), (4, 72), (5, 74), (7, 71), (8, 69), (9, 76), (11, 72), (12, 74)], [(1, 72), (3, 71), (4, 67), (5, 69), (6, 73), (7, 76), (9, 78), (11, 78), (12, 79)], [(1, 72), (3, 72), (5, 71), (6, 72), (7, 71), (9, 71), (11, 67), (12, 69)], [(1, 72), (3, 74), (5, 74), (7, 71), (9, 55), (11, 71), (12, 74)], [(1, 72), (3, 82), (4, 81), (5, 76), (7, 79), (8, 77), (9, 74), (11, 76), (12, 74)], [(1, 72), (3, 71), (4, 72), (5, 74), (7, 71), (9, 68), (11, 67)]]"
176,"[[(1, 71), (4, 71), (5, 67), (7, 83), (9, 81)], [(1, 71), (5, 69), (7, 74), (9, 71)], [(1, 71), (3, 72), (5, 65), (7, 64), (9, 62)], [(1, 71), (3, 69), (5, 74), (7, 72), (8, 74), (9, 72)], [(1, 71), (3, 67), (4, 71), (5, 69), (7, 71), (8, 72), (9, 74)], [(1, 71), (3, 69), (4, 67), (5, 64), (6, 71), (7, 72), (8, 70), (9, 79), (10, 78)], [(1, 71), (3, 67), (4, 69), (5, 70), (7, 77), (8, 81), (9, 79), (10, 77), (11, 76)], [(1, 71), (3, 71), (4, 69), (5, 70), (7, 74), (9, 74), (10, 72), (11, 71), (12, 74)]]"
177,"[[(1, 72), (3, 72), (4, 72), (5, 74), (7, 78), (9, 78)], [(1, 72), (2, 69), (3, 67), (4, 66), (5, 67), (7, 65), (8, 67), (9, 69)], [(1, 72), (2, 69), (3, 71), (4, 72), (5, 71), (7, 71), (9, 71)], [(1, 72), (2, 74), (3, 73), (4, 74), (5, 72), (7, 71), (9, 69)], [(1, 72), (3, 72), (4, 72), (5, 72), (7, 70), (9, 69)], [(1, 72), (3, 72), (4, 65), (5, 65), (7, 69), (9, 69), (11, 70), (12, 69)], [(1, 72), (2, 70), (3, 74), (4, 76), (5, 79), (7, 81), (8, 78), (9, 79), (10, 78), (11, 79), (12, 78)], [(1, 72), (2, 71), (3, 69), (4, 72), (5, 72), (6, 71), (7, 69), (8, 72), (9, 67), (10, 64)]]"
178,"[[(1, 79), (3, 76), (4, 78), (5, 74), (7, 74), (9, 71)], [(1, 79), (2, 77), (3, 76), (4, 77), (5, 79), (7, 71), (8, 69), (9, 71)], [(1, 79), (3, 83), (4, 85), (5, 86), (6, 85), (7, 83), (8, 81), (9, 77)], [(1, 79), (3, 78), (4, 79), (5, 77), (6, 81), (7, 79), (9, 83)], [(1, 79), (3, 78), (4, 81), (5, 83), (7, 79), (9, 81)], [(1, 79), (3, 79), (4, 81), (5, 76), (7, 76), (8, 74), (9, 72)], [(1, 79), (2, 77), (3, 76), (4, 73), (5, 73), (6, 71), (7, 72), (8, 77), (9, 74)], [(1, 79), (2, 69), (3, 68), (4, 67), (5, 71), (6, 74), (7, 77), (8, 80), (9, 80)]]"
179,"[[(1, 72), (3, 76), (4, 77), (5, 79), (7, 76), (8, 77), (9, 79), (11, 81)], [(1, 72), (3, 67), (4, 65), (5, 69), (6, 68), (7, 66), (8, 67), (9, 69), (10, 73), (11, 71)], [(1, 72), (3, 72), (4, 74), (5, 72), (7, 71), (8, 69), (9, 70), (11, 74)], [(1, 72), (3, 76), (5, 73), (7, 73), (8, 71), (9, 73), (11, 71)], [(1, 72), (2, 75), (3, 77), (5, 75), (7, 76), (8, 78), (9, 79), (11, 71)], [(1, 72), (3, 72), (5, 72), (7, 76), (8, 74), (9, 75), (10, 63), (11, 62)], [(1, 72), (3, 76), (4, 75), (5, 77), (7, 77), (8, 81), (9, 79), (11, 78)], [(1, 72), (3, 71), (4, 74), (5, 70), (7, 72), (8, 75), (9, 74)]]"
180,"[[(1, 62), (2, 66), (3, 65), (4, 67), (5, 71), (7, 71), (9, 69), (11, 71)], [(1, 62), (2, 65), (3, 67), (4, 66), (5, 62), (7, 63), (8, 65), (9, 74), (11, 70)], [(1, 62), (2, 65), (3, 69), (4, 71), (5, 69), (7, 67), (9, 67), (11, 65)], [(1, 62), (2, 77), (3, 81), (5, 81), (7, 85), (9, 85)], [(1, 62), (2, 64), (3, 65), (4, 62), (5, 60), (7, 62), (9, 63)], [(1, 62), (2, 66), (3, 67), (4, 66), (5, 67), (7, 69), (8, 72), (9, 72)], [(1, 62), (2, 66), (3, 67), (4, 69), (5, 67), (7, 69), (8, 65), (9, 64), (11, 62), (12, 59)], [(1, 62), (2, 66), (3, 69), (4, 71), (5, 74), (7, 76), (8, 73), (9, 69)]]"
181,"[[(1, 79), (3, 67), (4, 66), (5, 67), (6, 69), (7, 71), (8, 74), (9, 74)], [(1, 79), (3, 77), (4, 76), (5, 74), (7, 76), (8, 79), (9, 81)], [(1, 79), (3, 79), (4, 72), (5, 69), (6, 71), (7, 72), (9, 72)], [(1, 79), (2, 78), (3, 79), (4, 81), (5, 79), (6, 77), (7, 76), (8, 74), (9, 76)], [(1, 79), (2, 77), (3, 79), (4, 77), (5, 76), (7, 80), (9, 80)], [(1, 79), (2, 76), (3, 74), (4, 70), (5, 69), (9, 64)], [(1, 79), (3, 78), (4, 76), (5, 76), (9, 74)], [(1, 79), (3, 80), (4, 79), (5, 79), (7, 77), (9, 74)]]"
182,"[[(1, 58), (3, 70), (4, 72), (5, 74), (7, 78), (9, 79)], [(1, 58), (3, 70), (4, 69), (5, 70), (6, 69), (7, 74), (8, 77), (9, 75)], [(1, 58), (3, 70), (4, 72), (5, 67), (8, 64), (9, 57)], [(1, 58), (3, 57), (4, 58), (5, 60), (6, 59), (7, 60), (8, 61), (9, 62)], [(1, 58), (3, 70), (4, 69), (5, 71), (7, 72), (8, 76), (9, 74)], [(1, 58), (3, 82), (4, 79), (5, 75), (6, 74), (7, 79), (8, 78), (9, 79)], [(1, 58), (3, 70), (5, 70), (6, 72), (7, 70), (9, 69)], [(1, 58), (3, 57), (4, 58), (5, 60), (6, 59), (7, 57), (9, 74)]]"
183,"[[(1, 67), (3, 62), (4, 61), (5, 61), (7, 64), (9, 61), (10, 62), (11, 71)], [(1, 67), (3, 66), (4, 67), (5, 69), (7, 64), (8, 65), (9, 60), (11, 62)], [(1, 67), (3, 71), (4, 74), (5, 73), (7, 74), (8, 71), (9, 67)], [(1, 67), (2, 62), (3, 63), (4, 62), (5, 62), (6, 64), (7, 62), (8, 64), (9, 57)], [(1, 67), (3, 69), (4, 66), (5, 67), (7, 65), (8, 70), (9, 72)], [(1, 67), (3, 83), (4, 81), (5, 82), (6, 79), (7, 77), (8, 79), (9, 77)], [(1, 67), (3, 71), (4, 69), (5, 71), (6, 67), (7, 66), (8, 69), (9, 71), (11, 69)], [(1, 67), (3, 79), (4, 81), (5, 77), (7, 77), (8, 76), (9, 74)]]"
184,"[[(1, 81), (3, 81), (4, 79), (5, 81), (6, 69), (7, 71), (8, 69), (9, 70)], [(1, 81), (2, 83), (3, 81), (4, 82), (5, 84), (6, 82), (7, 81), (8, 79), (9, 79), (11, 76), (12, 79)], [(1, 81), (2, 78), (3, 76), (4, 77), (5, 76), (7, 76), (9, 79), (11, 78)], [(1, 81), (3, 79), (4, 74), (5, 72), (6, 69), (7, 71), (9, 73), (11, 76)], [(1, 81), (3, 77), (4, 74), (5, 74), (6, 72), (7, 71), (9, 71), (10, 74)], [(1, 81), (3, 79), (5, 76), (6, 74), (7, 71), (9, 71), (10, 74), (11, 72)], [(1, 81), (3, 81), (4, 77), (5, 76), (6, 74), (7, 71), (9, 55), (11, 71)], [(1, 81), (3, 81), (4, 80), (5, 81), (6, 69), (7, 76), (8, 74), (9, 72), (11, 71), (12, 74)]]"
185,"[[(1, 69), (2, 66), (3, 69), (4, 66), (5, 67), (6, 69), (7, 79), (8, 77), (9, 74), (11, 76)], [(1, 69), (3, 72), (4, 76), (5, 71), (6, 69), (7, 71), (9, 69), (11, 67)], [(1, 69), (3, 69), (4, 73), (5, 69), (6, 67), (7, 66), (8, 69), (9, 71)], [(1, 69), (3, 77), (4, 74), (5, 76), (6, 74), (7, 76), (8, 74), (9, 69), (11, 67), (12, 66)], [(1, 69), (3, 62), (4, 67), (5, 67), (7, 69), (8, 66), (9, 67), (11, 70), (12, 74)], [(1, 69), (2, 74), (3, 75), (4, 74), (5, 72), (7, 74), (8, 70), (9, 79), (11, 76), (12, 74)], [(1, 69), (2, 71), (3, 68), (5, 69), (7, 74), (9, 74), (11, 81), (12, 77)], [(1, 69), (3, 67), (4, 62), (5, 60), (7, 62), (9, 64), (11, 62), (12, 63)]]"
186,"[[(1, 72), (3, 74), (5, 83), (7, 74), (8, 76), (9, 78)], [(1, 72), (3, 76), (4, 74), (5, 64), (7, 64), (8, 61), (9, 62)], [(1, 72), (3, 74), (4, 75), (5, 74), (7, 72), (8, 76), (9, 74)], [(1, 72), (2, 71), (3, 72), (4, 71), (5, 72), (7, 77), (8, 79), (9, 74)], [(1, 72), (2, 71), (3, 69), (4, 71), (5, 72), (6, 74), (7, 72), (8, 70), (9, 72)], [(1, 72), (2, 71), (3, 74), (5, 79), (7, 74), (8, 73), (9, 74)], [(1, 72), (2, 70), (3, 72), (4, 75), (5, 77), (7, 74), (8, 76), (9, 69), (11, 72)], [(1, 72), (2, 77), (3, 76), (4, 72), (5, 76), (6, 77), (7, 76), (8, 78), (9, 74)]]"
187,"[[(1, 74), (3, 81), (5, 81), (7, 79), (9, 79), (11, 79), (12, 76)], [(1, 74), (3, 79), (4, 77), (5, 79), (7, 76), (9, 76), (11, 72)], [(1, 74), (3, 74), (4, 76), (5, 79), (7, 77), (8, 76), (9, 79)], [(1, 74), (3, 77), (4, 76), (5, 77), (7, 74), (8, 71), (9, 73)], [(1, 74), (2, 72), (3, 74), (4, 73), (5, 72), (7, 72), (8, 75), (9, 75), (11, 74)], [(1, 74), (2, 70), (3, 74), (4, 71), (5, 72), (7, 69), (8, 66), (9, 67), (11, 65)], [(1, 74), (2, 78), (3, 79), (4, 77), (5, 76), (7, 78), (8, 79), (9, 81)], [(1, 74), (2, 73), (3, 76), (4, 75), (5, 76), (7, 74), (8, 76), (9, 77), (11, 70), (12, 72)]]"
188,"[[(1, 81), (3, 79), (4, 81), (5, 79), (7, 81), (8, 77), (9, 76)], [(1, 81), (2, 79), (3, 76), (4, 79), (5, 78), (7, 74), (8, 72), (9, 69), (10, 68)], [(1, 81), (3, 83), (4, 79), (5, 77), (7, 79), (8, 78), (9, 79)], [(1, 81), (3, 76), (4, 72), (5, 80), (7, 65), (8, 63), (9, 62)], [(1, 81), (3, 79), (4, 78), (5, 79), (7, 82), (9, 79)], [(1, 81), (2, 79), (3, 76), (4, 79), (5, 72), (7, 72), (9, 74)], [(1, 81), (2, 82), (3, 76), (4, 75), (5, 74), (6, 71), (7, 69), (8, 67), (9, 66)], [(1, 81), (3, 76), (5, 79), (6, 77), (7, 76), (8, 78), (9, 79)]]"
189,"[[(1, 77), (2, 79), (3, 75), (5, 75), (7, 77), (9, 76)], [(1, 77), (2, 76), (3, 77), (4, 76), (5, 81), (7, 80), (9, 81), (12, 84)], [(1, 77), (2, 76), (3, 78), (4, 74), (5, 72), (7, 81), (9, 81)], [(1, 77), (2, 79), (3, 76), (4, 77), (5, 74), (7, 73), (8, 69), (9, 67), (11, 66)], [(1, 77), (3, 81), (4, 80), (5, 79), (7, 76), (8, 77), (9, 77), (11, 79), (12, 78)], [(1, 77), (3, 77), (5, 76), (7, 81), (8, 72), (9, 74), (11, 71)], [(1, 77), (3, 76), (4, 73), (5, 74), (7, 76), (8, 74), (9, 72)], [(1, 77), (3, 77), (4, 75), (5, 82), (7, 81), (9, 81), (11, 79)]]"
190,"[[(1, 70), (2, 69), (3, 70), (4, 67), (5, 67), (6, 55), (7, 71), (8, 74), (9, 72), (11, 69), (12, 67)], [(1, 70), (3, 74), (4, 70), (5, 74), (7, 69), (9, 67), (11, 66), (12, 64)], [(1, 70), (3, 70), (4, 74), (5, 76), (9, 74), (11, 72)], [(1, 70), (3, 69), (4, 72), (5, 71), (7, 71), (9, 73), (11, 69), (12, 66)], [(1, 70), (2, 69), (3, 65), (4, 69), (5, 67), (9, 55), (11, 71), (12, 69)], [(1, 70), (2, 69), (3, 73), (4, 71), (5, 72), (7, 70), (9, 77), (11, 74)], [(1, 70), (3, 67), (4, 66), (5, 67), (7, 69), (9, 79), (11, 78), (12, 76)], [(1, 70), (3, 67), (4, 71), (5, 69), (7, 67), (8, 69), (9, 67), (11, 78), (12, 76)]]"
191,"[[(1, 73), (4, 76), (5, 77), (7, 74), (8, 72), (9, 71), (11, 73)], [(1, 73), (5, 76), (7, 76), (8, 77), (9, 76), (11, 79)], [(1, 73), (5, 76), (6, 74), (7, 73), (8, 69), (9, 73), (11, 69)], [(1, 73), (2, 69), (3, 71), (5, 70), (6, 69), (7, 72), (8, 74), (9, 70), (11, 68)], [(1, 73), (2, 74), (3, 76), (4, 77), (5, 70), (6, 69), (7, 65), (8, 67), (9, 59), (11, 55), (12, 60)], [(1, 73), (2, 74), (3, 79), (4, 83), (5, 84), (7, 81), (8, 78), (9, 76), (11, 73), (12, 74)], [(1, 73), (3, 76), (5, 74), (7, 72), (8, 71), (9, 72), (11, 70), (12, 69)], [(1, 73), (3, 76), (5, 76), (7, 76), (9, 76), (11, 74)]]"
192,"[[(1, 80), (2, 81), (3, 82), (4, 79), (5, 81), (7, 79), (8, 71), (9, 69), (11, 69), (12, 67)], [(1, 80), (2, 76), (3, 73), (4, 74), (5, 76), (9, 73), (11, 69)], [(1, 80), (2, 78), (3, 76), (5, 77), (9, 81), (11, 81)], [(1, 80), (2, 81), (3, 79), (5, 78), (7, 81), (9, 76), (11, 76), (12, 74)], [(1, 80), (2, 70), (3, 72), (5, 72), (7, 70), (9, 72)], [(1, 80), (2, 81), (3, 79), (5, 76), (7, 72), (9, 59), (11, 74), (12, 78)], [(1, 80), (2, 78), (3, 76), (4, 73), (5, 74), (9, 62), (11, 65), (12, 62)], [(1, 80), (2, 78), (3, 74), (4, 73), (5, 74), (7, 73), (9, 73), (11, 71), (12, 69)]]"
193,"[[(1, 74), (3, 72), (5, 72), (7, 70), (9, 69), (11, 71), (12, 67)], [(1, 74), (5, 72), (7, 69), (9, 70), (11, 69), (12, 70)], [(1, 74), (5, 78), (7, 81), (9, 79), (11, 78), (12, 79)], [(1, 74), (2, 72), (3, 70), (5, 69), (7, 69), (9, 72), (11, 69), (12, 72)], [(1, 74), (3, 76), (5, 69), (7, 67), (9, 71), (11, 74), (12, 70)], [(1, 74), (3, 75), (5, 74), (7, 69), (8, 66), (9, 67), (11, 66), (12, 67)], [(1, 74), (3, 83), (5, 76), (7, 78), (9, 78), (11, 79), (12, 77)], [(1, 74), (3, 86), (5, 83), (7, 79), (8, 75), (9, 65), (11, 62), (12, 60)]]"
